Constituency,R-squared,Intercept,GDP_GROWTH Coef,INFLATION Coef,HOMICIDES Coef,P-value (GDP_GROWTH),P-value (INFLATION),P-value (HOMICIDES)
ARIMA,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
AROUCA/MALONEY,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
BARATARIA/SAN JUAN,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
CARONI CENTRAL,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
CARONI EAST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
CHAGUANAS EAST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
CHAGUANAS WEST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
COUVA NORTH,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
COUVA SOUTH,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
CUMUTO/MANZANILLA,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
D'ABADIE/O'MEARA,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
DIEGO MARTIN CENTRAL,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
DIEGO MARTIN NORTH/EAST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
DIEGO MARTIN WEST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
FYZABAD,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
LA BREA,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
LA HORQUETTA/TALPARO,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
LAVENTILLE EAST/MORVANT,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
LAVENTILLE WEST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
LOPINOT/BON AIR WEST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
MAYARO,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
MORUGA/TABLELAND,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
NAPARIMA,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
OROPOUCHE EAST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
OROPOUCHE WEST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
POINT FORTIN,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
POINTE-A-PIERRE,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
PORT-OF-SPAIN NORTH/ST. ANN'S WEST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
PORT-OF-SPAIN SOUTH,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
PRINCES TOWN,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
SAN FERNANDO EAST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
SAN FERNANDO WEST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
SIPARIA,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
ST. ANN'S EAST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
ST. AUGUSTINE,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
ST. JOSEPH,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
TABAQUITE,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
TOBAGO EAST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
TOBAGO WEST,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
TOCO/SANGRE GRANDE,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
TOTAL,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
TUNAPUNA,1.0,0.5612287346157273,0.0027449141683396072,0.016166137345715204,-0.0029261324151173274,,,
