Date,Real GDP (2012=100) Growth - Total (%),Annual Average Percent Change in the Index of Retail Prices - Inflation Rate (%),Unemployment Rate (%),WTI Crude Oil Price (US$/bbl),Henry Hub Natural Gas Price (US$/mmbtu),Net Official Reserves (US$Mn),Import Cover (months),Central Government Total Revenue (TT$Mn),Central Government Total Expenditure (TT$Mn),Overall Fiscal Balance (TT$Mn),Non-Energy Fiscal Balance (TT$Mn),Gross Public Sector Debt Outstanding (TT$M),Net Public Sector Debt Outstanding (TT$M),Gross Public Sector Debt to GDP Ratio (%),Net Public Sector Debt to GDP Ratio (%),Commercial Banks - Credit to the Private Sector (TT$Mn),Money Supply - M2 (TT$Mn),Commercial Banks Median Basic Prime Lending Rate (end of period; %),"Repo Rate (end of period, %)"
2024,n.d,0.5,n.d,75.8,2.2,5604.3,8,47838,57462.1,-9624.1,-23325.9,n.d,n.d,n.d,n.d,78513.4,93647.2,7.5,3.5
2023,1.4,4.6,4,77.6,2.5,6257.9,7.8,52459.5,56536.7,-4077.2,-26978.5,n.d,n.d,n.d,n.d,71842.1,103649.6,7.5,3.5
2022,1.1,5.8,4.9,94.2,6.4,6832.4,8.6,58309.3,55652.8,2656.5,-31134.2,n.d,n.d,n.d,n.d,66409.9,101220.5,7.5,3.5
2021,-0.9,2.1,5.4,67.9,3.8,6879.6,8.4,39852.8,50509.1,-10656.3,-23050.5,n.d,n.d,n.d,n.d,62248.6,99126,7.5,3.5
2020,-8.9,0.6,5.7,39.4,2,6953.8,8.5,33398.3,50742,-17343.7,-24266.8,133858.4,122288.1,83.9,76.7,60599.1,99229.8,7.5,3.5
2019,0.5,1,4.3,57,2.6,6929,7.7,45402.2,50760.8,-5358.6,-21054.2,122557.6,107602.3,83.4,73.2,60329.6,89475.2,9.25,5
2018,-1,1,3.9,64.8,3.2,7575,8,45460.2,49986.4,-4526.2,-15825.3,124665.3,99270.6,77,61.3,57649.1,89425.7,9.25,5
2017,-4.8,1.9,4.8,50.9,3,8369.8,9.7,37223.4,48529.9,-11306.5,-20127.7,120566.8,95873.2,73.6,58.5,56046.9,86754.6,9,4.75
2016,-7.4,3.1,3.9,43.2,2.5,9465.8,10.5,41773.4,51381,-9607.6,-12632.8,119705.3,87886.6,74.7,54.9,53330.8,88636.2,9,4.75
2015,-0.6,4.7,3.4,48.7,2.6,9933,11.2,55704.7,59516.9,-3812.1,-12464.1,109357.6,76655.9,68.2,47.8,51246.4,85870.5,8.93,4.75
