ELECTORAL_DISTRICT,Division
ARIMA,Northern
AROUCA/MALONEY,Northern
BARATARIA/SAN JUAN,North_Eastern
CARONI CENTRAL,Central
CARONI EAST,Central
CHAGUANAS EAST,Central
CHAGUANAS WEST,Central
COUVA NORTH,Central
COUVA SOUTH,Central
CUMUTO/MANZANILLA,Eastern
D'ABADIE/O'MEARA,Northern
DIEGO MARTIN CENTRAL,Western
DIEGO MARTIN NORTH/EAST,Western
DIEGO MARTIN WEST,Western
FYZABAD,South_Western
LA BREA,South_Western
LA HORQUETTA/TALPARO,Northern
LAVENTILLE EAST/MORVANT,North_Eastern
LAVENTILLE WEST,Port_of_Spain
LOPINOT/BON AIR WEST,Northern
MAYARO,Eastern
MORUGA/TABLELAND,Southern
NAPARIMA,Southern
OROPOUCHE EAST,Southern
OROPOUCHE WEST,South_Western
POINT FORTIN,South_Western
POINTE-A-PIERRE,Southern
PORT-OF-SPAIN NORTH/ST. ANN'S WEST,Port_of_Spain
PORT-OF-SPAIN SOUTH,Port_of_Spain
PRINCES TOWN,Southern
SAN FERNANDO EAST,Southern
SAN FERNANDO WEST,Southern
SIPARIA,South_Western
ST. ANN'S EAST,North_Eastern
ST. AUGUSTINE,Northern
ST. JOSEPH,Northern
TABAQUITE,Central
TOBAGO EAST,Tobago
TOBAGO WEST,Tobago
TOCO/SANGRE GRANDE,Eastern
TUNAPUNA,Northern
