Year,GDP (Per Capita US$),GNI (Per Capita US $),GNI (Percentage Change),Homicide_rate_per_100k,Homicide (Annual Percentage Change),Inflation,Unemployment,Net Migration Rate,Growth Rate,GDP_(US$)
2000,7586.43,5140,10.54,9.01,25.24,3.555413197,12.1,-4.353,-11.05%,8154342116.10311
2001,8123.99,5770,12.26,11.28,25.24,5.536653263,10.88,-3.811,-12.45%,8824849191.03571
2002,8315.5,6420,11.27,12.7,12.62,4.150058617,10.39,-3.27,-14.20%,9008298228.60273
2003,10505.01,7650,19.16,16.92,33.17,3.811106244,10.48,-2.729,-16.54%,11305459802.0683
2004,12344.57,9190,20.13,19.1,12.9,3.72154939,8.33,-2.75,0.77%,13280291989.5755
2005,14865.93,10590,15.23,28.19,47.6,6.874534596,7.95,-2.771,0.76%,15982389018.4041
2006,17116.79,12560,18.6,26.94,-4.43,8.329603515,6.27,-2.793,0.79%,18369361094.3886
2007,20207.88,14170,12.82,28.23,4.79,7.894388348,5.54,-2.814,0.75%,21641620049.9352
2008,25836.24,16370,15.53,39.27,39.1,12.03034455,4.63,-2.835,0.75%,27871587349.5413
2009,17908.72,15270,-6.72,36.18,-7.87,6.978087253,5.28,-2.387,-15.80%,19172165225.5015
2010,20861.04,15500,1.51,33.54,-7.31,10.54920032,4.033,-1.938,-18.81%,22157920592.3669
2011,24056.28,14090,-9.1,24.79,-26.09,5.107132893,3.425,-1.49,-23.12%,25433007437.1605
2012,25668.47,16890,19.87,26.57,7.17,9.260281371,3.718,-1.041,-30.13%,27334568806.1922
2013,26526.99,18860,11.66,28.25,6.34,5.199817405,2.683,-0.593,-43.04%,28709859468.8597
2014,27507.25,19290,2.28,27.92,-1.17,5.684418146,2.477,-0.59,-0.51%,29697674913.5408
2015,27351.88,19170,-0.62,28.76,3.03,4.661215981,2.428,-0.587,-0.51%,27026750552.9647
2016,25326.9,16550,-13.67,31.51,9.55,3.070667425,3.207,-0.584,-0.51%,23722678429.8078
2017,24106.5,15640,-5.5,33.48,6.24,1.880384402,3.394,-0.581,-0.51%,24040211327.4898
2018,23868.93,15430,-1.34,34.36,2.63,1.018569302,3.498,-0.578,-0.52%,24569257295.0918
2019,23981.54,15740,2.01,35.46,3.21,1.00054293,3.523,-0.576,-0.35%,23775659262.5735
2020,21846.51,13670,-13.15,26.28,-25.89,0.598986331,4.206,-0.574,-0.35%,20807716174.0546
2021,21647.28,14850,8.63,29.36,11.73,2.059227469,4.446,-0.573,-0.17%,24496397204.7176
2022,21881.54,16190,9.02,40.44,37.73,5.828386385,4.383,-0.571,-0.35%,30053446092.0128
2023,22193.82,17940,10.81,38.39,-5.07,4.629302424,4.21,-0.569,-0.35%,27372285697.9477
2024,22815.22,18442,2.8,41.45,7.97,0.5,5.0,-0.568,-0.18%,28140000000.0
2025,22815.22,18442,0.0,41.45,0.0,0.5,5.0,-0.568,0.00%,
